,record1
445,1408.0788413098237
446,1427.749370277078
447,1444.6098236775817
448,1448.8249370277078
449,1436.17959697733
450,1416.5090680100755
451,1396.8385390428211
452,1388.4083123425692
453,1364.5226700251887
454,1340.6370277078086
455,1325.1816120906801
456,1318.1564231738034
457,1302.701007556675
458,1284.435516372796
459,1299.8909319899244
460,1336.4219143576825
461,1379.9780856423174
462,1401.053652392947
463,1401.053652392947
464,1375.7629722921913
465,1336.4219143576825
466,1330.8017632241813
467,1360.3075566750629
468,1367.3327455919396
469,1353.2823677581864
470,1339.2319899244333
471,1309.7261964735517
472,1287.2455919395466
473,1257.739798488665
474,1238.0692695214104
475,1242.2843828715365
476,1236.6642317380351
477,1221.2088161209067
478,1179.0576826196473
479,1156.5770780856424
480,1141.1216624685137
481,1153.7670025188916
482,1191.7030226700251
483,1236.6642317380351
484,1287.2455919395466
485,1344.8521410579344
486,1412.2939546599496
487,1465.6853904282116
488,1506.4314861460957
489,1540.1523929471032
490,1549.9876574307305
491,1537.3423173803526
492,1520.4818639798489
493,1489.5710327455918
494,1461.4702770780855
495,1446.014861460957
496,1406.6738035264484
497,1371.5478589420654
498,1347.662216624685
499,1340.6370277078086
500,1333.6118387909319
501,1325.1816120906801
502,1327.9916876574307
503,1336.4219143576825
504,1351.877329974811
505,1361.7125944584382
506,1377.1680100755666
507,1391.2183879093197
508,1399.6486146095717
509,1405.268765743073
510,1409.483879093199
511,1410.8889168765743
512,1410.8889168765743
513,1408.0788413098237
514,1419.319143576826
515,1423.5342569269521
516,1437.5846347607053
517,1440.3947103274559
518,1436.17959697733
519,1417.9141057934507
520,1384.1931989924433
521,1349.0672544080603
522,1316.7513853904281
523,1302.701007556675
524,1299.8909319899244
525,1298.4858942065491
526,1288.6506297229218
527,1274.6002518891687
528,1283.0304785894205
529,1304.1060453400503
530,1330.8017632241813
531,1350.4722921914358
532,1361.7125944584382
533,1361.7125944584382
534,1354.6874055415617
535,1357.4974811083123
536,1357.4974811083123
537,1363.1176322418135
538,1379.9780856423174
539,1374.357934508816
540,1367.3327455919396
541,1347.662216624685
542,1337.826952141058
543,1353.2823677581864
544,1381.3831234256927
545,1406.6738035264484
546,1417.9141057934507
547,1424.9392947103274
548,1433.3695214105792
549,1433.3695214105792
550,1419.319143576826
551,1406.6738035264484
552,1437.5846347607053
553,1474.1156171284633
554,1479.7357682619647
555,1437.5846347607053
556,1388.4083123425692
557,1356.092443324937
558,1351.877329974811
559,1351.877329974811
560,1358.9025188916876
561,1368.7377833753148
562,1360.3075566750629
563,1353.2823677581864
564,1356.092443324937
565,1356.092443324937
566,1330.8017632241813
567,1315.3463476070528
568,1308.3211586901762
569,1287.2455919395466
570,1270.3851385390428
571,1271.7901763224181
572,1274.6002518891687
573,1294.270780856423
574,1337.826952141058
575,1363.1176322418135
576,1365.9277078085643
577,1363.1176322418135
578,1370.1428211586901
579,1375.7629722921913
580,1381.3831234256927
581,1389.8133501259445
582,1389.8133501259445
583,1395.4335012594458
584,1408.0788413098237
585,1420.7241813602013
586,1415.1040302267002
587,1401.053652392947
588,1388.4083123425692
589,1375.7629722921913
590,1367.3327455919396
591,1364.5226700251887
592,1370.1428211586901
593,1372.9528967254407
594,1372.9528967254407
595,1378.5730478589421
596,1384.1931989924433
597,1378.5730478589421
598,1374.357934508816
599,1363.1176322418135
600,1357.4974811083123
601,1364.5226700251887
602,1368.7377833753148
603,1365.9277078085643
604,1358.9025188916876
605,1354.6874055415617
606,1349.0672544080603
607,1340.6370277078086
608,1322.3715365239293
609,1316.7513853904281
610,1320.966498740554
611,1351.877329974811
612,1396.8385390428211
613,1426.3443324937027
614,1441.7997481108312
615,1446.014861460957
616,1444.6098236775817
617,1441.7997481108312
618,1429.1544080604533
619,1413.6989924433249
620,1382.788161209068
621,1346.2571788413097
622,1308.3211586901762
623,1276.005289672544
624,1242.2843828715365
625,1212.778589420655
626,1215.5886649874055
627,1232.4491183879093
628,1239.4743073047857
629,1225.4239294710328
630,1229.6390428211587
631,1250.7146095717883
632,1273.1952141057934
633,1281.6254408060454
634,1299.8909319899244
635,1336.4219143576825
636,1382.788161209068
637,1403.8637279596976
638,1423.5342569269521
639,1451.6350125944584
640,1469.9005037783375
641,1471.3055415617127
642,1451.6350125944584
643,1451.6350125944584
644,1462.875314861461
645,1465.6853904282116
646,1455.8501259445843
647,1438.9896725440806
648,1424.9392947103274
649,1416.5090680100755
650,1410.8889168765743
651,1403.8637279596976
652,1415.1040302267002
653,1415.1040302267002
654,1406.6738035264484
655,1398.2435768261964
656,1392.623425692695
657,1382.788161209068
658,1379.9780856423174
659,1368.7377833753148
660,1337.826952141058
661,1333.6118387909319
662,1339.2319899244333
663,1343.4471032745591
664,1336.4219143576825
665,1298.4858942065491
666,1267.575062972292
667,1249.309571788413
668,1243.6894206549118
669,1233.8541561712846
670,1225.4239294710328
671,1211.3735516372794
672,1207.1584382871536
673,1224.0188916876573
674,1238.0692695214104
675,1260.5498740554156
676,1292.8657430730477
677,1315.3463476070528
678,1333.6118387909319
679,1330.8017632241813
680,1361.7125944584382
681,1395.4335012594458
682,1416.5090680100755
683,1429.1544080604533
684,1465.6853904282116
685,1499.406297229219
686,1527.5070528967253
687,1541.5574307304785
688,1528.9120906801006
689,1490.9760705289673
690,1450.2299748110831
691,1427.749370277078
692,1415.1040302267002
693,1409.483879093199
694,1406.6738035264484
695,1408.0788413098237
696,1426.3443324937027
697,1464.2803526448363
698,1485.355919395466
699,1478.3307304785894
700,1481.14080604534
701,1499.406297229219
702,1496.5962216624685
703,1465.6853904282116
704,1446.014861460957
705,1431.964483627204
706,1415.1040302267002
707,1403.8637279596976
708,1399.6486146095717
709,1401.053652392947
710,1394.0284634760706
711,1372.9528967254407
712,1351.877329974811
713,1344.8521410579344
714,1340.6370277078086
715,1339.2319899244333
716,1320.966498740554
717,1294.270780856423
718,1268.9801007556675
719,1231.044080604534
720,1194.5130982367757
721,1186.0828715365237
722,1222.613853904282
723,1260.5498740554156
724,1298.4858942065491
725,1340.6370277078086
726,1377.1680100755666
727,1427.749370277078
728,1464.2803526448363
729,1503.6214105793451
730,1519.0768261964736
731,1516.2667506297228
732,1520.4818639798489
733,1526.10201511335
734,1509.2415617128463
735,1467.0904282115869
736,1412.2939546599496
737,1382.788161209068
738,1398.2435768261964
739,1402.4586901763223
740,1402.4586901763223
741,1409.483879093199
742,1402.4586901763223
743,1433.3695214105792
744,1468.4954659949622
745,1471.3055415617127
746,1427.749370277078
747,1371.5478589420654
748,1326.5866498740554
749,1312.5362720403023
750,1320.966498740554
751,1327.9916876574307
752,1344.8521410579344
753,1360.3075566750629
754,1363.1176322418135
755,1346.2571788413097
756,1336.4219143576825
757,1336.4219143576825
758,1349.0672544080603
759,1357.4974811083123
760,1363.1176322418135
761,1365.9277078085643
762,1363.1176322418135
763,1365.9277078085643
764,1367.3327455919396
765,1370.1428211586901
766,1378.5730478589421
767,1377.1680100755666
768,1378.5730478589421
769,1378.5730478589421
770,1374.357934508816
771,1367.3327455919396
772,1364.5226700251887
773,1364.5226700251887
774,1370.1428211586901
775,1387.0032745591939
776,1402.4586901763223
777,1402.4586901763223
778,1395.4335012594458
779,1398.2435768261964
780,1399.6486146095717
781,1401.053652392947
782,1395.4335012594458
783,1385.5982367758186
784,1389.8133501259445
785,1405.268765743073
786,1410.8889168765743
787,1398.2435768261964
788,1365.9277078085643
789,1342.0420654911838
790,1306.9161209068009
791,1263.3599496221661
792,1247.9045340050377
793,1266.1700251889167
794,1294.270780856423
795,1319.5614609571787
796,1346.2571788413097
797,1358.9025188916876
798,1378.5730478589421
799,1410.8889168765743
800,1451.6350125944584
801,1472.710579345088
802,1486.7609571788412
803,1493.7861460957179
804,1495.1911838790932
805,1493.7861460957179
806,1461.4702770780855
807,1385.5982367758186
808,1306.9161209068009
809,1250.7146095717883
810,1197.3231738035263
811,1155.1720403022669
812,1138.3115869017631
813,1148.1468513853904
814,1179.0576826196473
815,1193.1080604534004
816,1197.3231738035263
817,1219.8037783375314
818,1257.739798488665
819,1291.4607052896724
820,1323.7765743073046
821,1353.2823677581864
822,1388.4083123425692
823,1410.8889168765743
824,1433.3695214105792
825,1460.0652392947102
826,1475.5206549118386
827,1467.0904282115869
828,1455.8501259445843
829,1450.2299748110831
830,1446.014861460957
831,1436.17959697733
832,1420.7241813602013
833,1396.8385390428211
834,1381.3831234256927
835,1374.357934508816
836,1365.9277078085643
837,1372.9528967254407
838,1396.8385390428211
839,1409.483879093199
840,1420.7241813602013
841,1419.319143576826
842,1402.4586901763223
843,1363.1176322418135
844,1327.9916876574307
845,1315.3463476070528
846,1305.5110831234256
847,1294.270780856423
848,1277.4103274559193
849,1261.9549118387908
850,1247.9045340050377
851,1222.613853904282
852,1215.5886649874055
853,1239.4743073047857
854,1263.3599496221661
855,1294.270780856423
856,1312.5362720403023
857,1342.0420654911838
858,1356.092443324937
859,1356.092443324937
860,1333.6118387909319
861,1320.966498740554
862,1330.8017632241813
863,1378.5730478589421
864,1433.3695214105792
865,1446.014861460957
866,1431.964483627204
867,1431.964483627204
868,1467.0904282115869
869,1505.0264483627204
870,1528.9120906801006
871,1527.5070528967253
872,1521.8869017632242
873,1514.8617128463475
874,1514.8617128463475
875,1505.0264483627204
876,1485.355919395466
877,1464.2803526448363
878,1453.0400503778337
879,1448.8249370277078
880,1453.0400503778337
881,1438.9896725440806
882,1423.5342569269521
883,1410.8889168765743
884,1406.6738035264484
885,1405.268765743073
886,1408.0788413098237
887,1406.6738035264484
888,1392.623425692695
889,1361.7125944584382
890,1330.8017632241813
891,1295.6758186397983
892,1273.1952141057934
893,1257.739798488665
894,1257.739798488665
895,1261.9549118387908
896,1252.1196473551636
897,1231.044080604534
898,1224.0188916876573
899,1225.4239294710328
900,1226.8289672544079
901,1219.8037783375314
902,1240.8793450881612
903,1274.6002518891687
904,1302.701007556675
905,1304.1060453400503
906,1305.5110831234256
907,1335.0168765743072
908,1389.8133501259445
909,1440.3947103274559
910,1486.7609571788412
911,1503.6214105793451
912,1505.0264483627204
913,1503.6214105793451
914,1486.7609571788412
915,1464.2803526448363
916,1474.1156171284633
917,1482.5458438287153
918,1479.7357682619647
919,1476.9256926952141
920,1478.3307304785894
921,1485.355919395466
922,1483.9508816120906
923,1468.4954659949622
924,1455.8501259445843
925,1451.6350125944584
926,1444.6098236775817
927,1450.2299748110831
928,1457.2551637279596
929,1454.445088161209
930,1451.6350125944584
931,1448.8249370277078
932,1431.964483627204
933,1408.0788413098237
934,1392.623425692695
935,1398.2435768261964
936,1409.483879093199
937,1403.8637279596976
938,1374.357934508816
939,1343.4471032745591
940,1333.6118387909319
941,1333.6118387909319
942,1339.2319899244333
943,1332.2068010075566
944,1327.9916876574307
945,1329.396725440806
946,1327.9916876574307
947,1342.0420654911838
948,1351.877329974811
949,1350.4722921914358
950,1356.092443324937
951,1360.3075566750629
952,1375.7629722921913
953,1358.9025188916876
954,1342.0420654911838
955,1339.2319899244333
956,1343.4471032745591
957,1340.6370277078086
958,1332.2068010075566
959,1325.1816120906801
960,1327.9916876574307
961,1337.826952141058
962,1361.7125944584382
963,1378.5730478589421
964,1375.7629722921913
965,1382.788161209068
966,1402.4586901763223
967,1419.319143576826
968,1440.3947103274559
969,1461.4702770780855
970,1483.9508816120906
971,1498.0012594458437
972,1496.5962216624685
973,1486.7609571788412
974,1475.5206549118386
975,1464.2803526448363
976,1430.5594458438286
977,1403.8637279596976
978,1405.268765743073
979,1438.9896725440806
980,1471.3055415617127
981,1493.7861460957179
982,1493.7861460957179
983,1467.0904282115869
984,1434.7745591939547
985,1412.2939546599496
986,1409.483879093199
987,1417.9141057934507
988,1423.5342569269521
989,1424.9392947103274
990,1410.8889168765743
991,1378.5730478589421
992,1336.4219143576825
993,1304.1060453400503
994,1276.005289672544
995,1233.8541561712846
996,1215.5886649874055
997,1209.9685138539041
998,1200.133249370277
999,1188.8929471032745
1000,1166.4123425692694
1001,1157.9821158690174
1002,1169.22241813602
1003,1179.0576826196473
1004,1181.8677581863979
1005,1172.0324937027708
1006,1159.387153652393
1007,1190.2979848866498
1008,1212.778589420655
1009,1225.4239294710328
1010,1243.6894206549118
1011,1249.309571788413
1012,1273.1952141057934
1013,1312.5362720403023
1014,1354.6874055415617
1015,1379.9780856423174
1016,1382.788161209068
1017,1381.3831234256927
1018,1394.0284634760706
1019,1415.1040302267002
1020,1444.6098236775817
1021,1468.4954659949622
1022,1483.9508816120906
1023,1478.3307304785894
1024,1475.5206549118386
1025,1471.3055415617127
1026,1460.0652392947102
1027,1446.014861460957
1028,1436.17959697733
1029,1430.5594458438286
1030,1430.5594458438286
1031,1429.1544080604533
1032,1423.5342569269521
1033,1410.8889168765743
1034,1392.623425692695
1035,1385.5982367758186
1036,1384.1931989924433
1037,1381.3831234256927
1038,1379.9780856423174
1039,1387.0032745591939
1040,1387.0032745591939
1041,1388.4083123425692
1042,1387.0032745591939
1043,1384.1931989924433
1044,1365.9277078085643
1045,1350.4722921914358
1046,1333.6118387909319
1047,1337.826952141058
1048,1336.4219143576825
1049,1333.6118387909319
1050,1330.8017632241813
1051,1322.3715365239293
1052,1320.966498740554
1053,1315.3463476070528
1054,1315.3463476070528
1055,1316.7513853904281
1056,1309.7261964735517
1057,1309.7261964735517
1058,1313.9413098236776
1059,1333.6118387909319
1060,1340.6370277078086
1061,1325.1816120906801
1062,1325.1816120906801
1063,1306.9161209068009
1064,1283.0304785894205
1065,1273.1952141057934
1066,1276.005289672544
1067,1281.6254408060454
1068,1285.8405541561713
1069,1301.2959697732997
1070,1325.1816120906801
1071,1349.0672544080603
1072,1370.1428211586901
1073,1395.4335012594458
1074,1427.749370277078
1075,1453.0400503778337
1076,1493.7861460957179
1077,1527.5070528967253
1078,1544.367506297229
1079,1538.747355163728
1080,1523.2919395465995
1081,1498.0012594458437
1082,1482.5458438287153
1083,1464.2803526448363
1084,1468.4954659949622
1085,1475.5206549118386
1086,1482.5458438287153
1087,1482.5458438287153
1088,1474.1156171284633
1089,1462.875314861461
1090,1454.445088161209
1091,1444.6098236775817
1092,1443.2047858942065
1093,1436.17959697733
1094,1434.7745591939547
1095,1429.1544080604533
1096,1422.1292191435768
1097,1401.053652392947
1098,1377.1680100755666
1099,1343.4471032745591
1100,1326.5866498740554
1101,1312.5362720403023
1102,1311.131234256927
1103,1320.966498740554
1104,1326.5866498740554
1105,1332.2068010075566
1106,1333.6118387909319
1107,1329.396725440806
1108,1346.2571788413097
1109,1371.5478589420654
1110,1395.4335012594458
1111,1395.4335012594458
1112,1370.1428211586901
1113,1347.662216624685
1114,1320.966498740554
1115,1266.1700251889167
1116,1225.4239294710328
1117,1226.8289672544079
1118,1249.309571788413
1119,1260.5498740554156
1120,1238.0692695214104
1121,1219.8037783375314
1122,1239.4743073047857
1123,1278.8153652392946
1124,1305.5110831234256
1125,1332.2068010075566
1126,1408.0788413098237
1127,1499.406297229219
1128,1551.3926952141057
1129,1582.3035264483626
1130,1575.2783375314862
1131,1566.8481108312342
1132,1559.8229219143577
1133,1557.012846347607
1134,1565.443073047859
1135,1569.6581863979848
1136,1569.6581863979848
1137,1566.8481108312342
1138,1557.012846347607
1139,1544.367506297229
1140,1526.10201511335
1141,1514.8617128463475
1142,1490.9760705289673
1143,1478.3307304785894
1144,1474.1156171284633
1145,1478.3307304785894
1146,1493.7861460957179
1147,1505.0264483627204
1148,1506.4314861460957
1149,1505.0264483627204
1150,1505.0264483627204
1151,1498.0012594458437
1152,1489.5710327455918
1153,1476.9256926952141
1154,1457.2551637279596
1155,1429.1544080604533
1156,1405.268765743073
1157,1382.788161209068
1158,1368.7377833753148
1159,1365.9277078085643
1160,1356.092443324937
1161,1340.6370277078086
1162,1326.5866498740554
1163,1332.2068010075566
1164,1337.826952141058
1165,1340.6370277078086
1166,1353.2823677581864
1167,1372.9528967254407
1168,1374.357934508816
1169,1378.5730478589421
1170,1382.788161209068
1171,1384.1931989924433
1172,1399.6486146095717
1173,1402.4586901763223
1174,1402.4586901763223
1175,1410.8889168765743
1176,1412.2939546599496
1177,1422.1292191435768
1178,1422.1292191435768
1179,1423.5342569269521
1180,1419.319143576826
1181,1422.1292191435768
1182,1416.5090680100755
1183,1419.319143576826
1184,1415.1040302267002
1185,1409.483879093199
1186,1403.8637279596976
1187,1395.4335012594458
1188,1392.623425692695
1189,1389.8133501259445
1190,1389.8133501259445
1191,1384.1931989924433
1192,1384.1931989924433
1193,1381.3831234256927
1194,1374.357934508816
1195,1372.9528967254407
1196,1371.5478589420654
1197,1372.9528967254407
1198,1372.9528967254407
1199,1374.357934508816
1200,1371.5478589420654
1201,1358.9025188916876
1202,1350.4722921914358
1203,1357.4974811083123
1204,1358.9025188916876
1205,1360.3075566750629
1206,1354.6874055415617
1207,1354.6874055415617
1208,1357.4974811083123
1209,1358.9025188916876
1210,1361.7125944584382
1211,1365.9277078085643
1212,1372.9528967254407
1213,1379.9780856423174
1214,1388.4083123425692
1215,1394.0284634760706
1216,1406.6738035264484
1217,1413.6989924433249
1218,1423.5342569269521
1219,1430.5594458438286
1220,1437.5846347607053
1221,1433.3695214105792
1222,1431.964483627204
1223,1427.749370277078
1224,1430.5594458438286
1225,1427.749370277078
1226,1422.1292191435768
1227,1409.483879093199
1228,1398.2435768261964
1229,1394.0284634760706
1230,1396.8385390428211
1231,1392.623425692695
1232,1374.357934508816
1233,1344.8521410579344
1234,1322.3715365239293
1235,1308.3211586901762
1236,1309.7261964735517
1237,1306.9161209068009
1238,1311.131234256927
1239,1322.3715365239293
1240,1325.1816120906801
1241,1337.826952141058
1242,1347.662216624685
1243,1363.1176322418135
1244,1378.5730478589421
1245,1387.0032745591939
1246,1391.2183879093197
1247,1375.7629722921913
1248,1363.1176322418135
1249,1360.3075566750629
1250,1371.5478589420654
1251,1374.357934508816
1252,1360.3075566750629
1253,1346.2571788413097
1254,1312.5362720403023
1255,1247.9045340050377
1256,1181.8677581863979
1257,1143.9317380352645
1258,1142.526700251889
1259,1162.1972292191435
1260,1190.2979848866498
1261,1225.4239294710328
1262,1250.7146095717883
1263,1271.7901763224181
1264,1271.7901763224181
1265,1287.2455919395466
1266,1329.396725440806
